name,marker-color,marker-size,marker-symbol,id,feature-type,notes,geology,lon,lat
Black Down,#000000,,,79,Stone,,Sarsen,-2.54926,50.68661
Black Down,#000000,,,80,Stone,,Sarsen,-2.54952,50.68662
Black Down,#000000,,,81,Stone,,Sarsen,-2.54957,50.68681
Black Down,#000000,,,82,Stone,,Sarsen,-2.54893,50.68684
Black Down,#000000,,,83,Stone,,Sarsen,-2.54966,50.68713
Black Down,#000000,,,84,Stone,,Sarsen,-2.54883,50.68717
Valley of Stones,#000000,,,85,Stone,,Sarsen,-2.57637,50.68245
Valley of Stones,#000000,,,86,Stone,,Sarsen,-2.57648,50.68303
Valley of Stones,#000000,,,87,Stone,,Sarsen,-2.57653,50.68312
Valley of Stones,#000000,,,88,Stone,,Sarsen,-2.57661,50.68314
Valley of Stones,#000000,,,89,Stone,,Sarsen,-2.57614,50.68343
Valley of Stones,#000000,,,90,Valley of Stones,,Sarsen,-2.57585,50.68409
Valley of Stones,#000000,,,91,Stone,,Sarsen,-2.57606,50.68394
Valley of Stones,#000000,,,92,Stone,,Sarsen,-2.57621,50.68382
Valley of Stones,#000000,,,93,Stone,,Sarsen,-2.57635,50.68373
Little Mayne,#000000,,,94,Stone,,Sarsen,-2.39268,50.68213
Little Mayne,#000000,,,95,Stone,,Sarsen,-2.3924,50.68243
Little Mayne,#000000,,,96,Stone,,Sarsen,-2.39251,50.68245
Little Mayne,#000000,,,97,Stone,,Sarsen,-2.39272,50.6825
Little Mayne,#000000,,,98,Stone,,Sarsen,-2.39325,50.68238
Little Mayne,#000000,,,99,Stone,,Sarsen,-2.39337,50.68247
Little Mayne,#000000,,,100,Stone,,Sarsen,-2.39307,50.68257
Little Mayne,#000000,,,101,Stone,,Sarsen,-2.3937,50.68252
Little Mayne,#000000,,,102,Stone,,Sarsen,-2.3937,50.6826
Little Mayne,#000000,,,103,Stone,,Sarsen,-2.39346,50.68276
Little Mayne,#000000,,,104,Stone,,Sarsen,-2.39344,50.68279
Little Mayne,#000000,,,105,Stone,,Sarsen,-2.39349,50.68277
Little Mayne,#000000,,,106,Stone,,Sarsen,-2.39351,50.68279
Little Mayne,#000000,,,107,Stone,,Sarsen,-2.39355,50.68278
Poxwell,#000000,,,108,Stone,,Sarsen,-2.3616,50.65146
Poxwell Stone Circle,#000000,,,109,Stone circle,Curbed cairn,Sarsen,-2.36193,50.65135
Poxwell Stone Circle,#000000,,,110,Stone circle,Curbed cairn,Sarsen,-2.36187,50.65135
Poxwell Stone Circle,#000000,,,111,Stone circle,Curbed cairn,Sarsen,-2.36185,50.65133
Poxwell Stone Circle,#000000,,,112,Stone circle,Curbed cairn,Sarsen,-2.36189,50.65131
Poxwell Stone Circle,#000000,,,113,Stone circle,Curbed cairn,Sarsen,-2.36193,50.65132
Poxwell,#000000,,,114,Stone,,Sarsen,-2.36205,50.65131
Poxwell,#000000,,,115,Stone,,Sarsen,-2.36203,50.65128
Poxwell,#000000,,,116,Stone,,Sarsen,-2.36209,50.6513
,#000000,,,117,Stone,,Sarsen,-2.35759,50.65404
,#000000,,,118,Stone,,Sarsen,-2.35755,50.65404
,#000000,,,119,Stone,,Sarsen,-2.35755,50.65401
,#000000,,,120,Stone,,Sarsen,-2.35758,50.65398
Agglestome,#000000,,,121,Outcrop,,Heathstone,-1.96792,50.64512
Puckstone,#000000,,,122,Outcrop,,Heathstone,-1.97077,50.64773
,#000000,,,123,Stone,,Heathstone,-1.99437,50.64781
,#000000,,,124,Stone,,Heathstone,-1.99359,50.64973
,#000000,,,125,Stone,,Heathstone,-1.99495,50.64517
,#000000,,,126,Stone,,Heathstone,-1.99106,50.65793
,#000000,,,127,Stone,,Heathstone,-1.99157,50.65268
,#000000,,,128,Stone,,Heathstone,-1.9906,50.6626
,#000000,,,129,Stone,,Heathstone,-1.99055,50.66278
,#000000,,,130,Stone,,Heathstone,-1.98914,50.66408
Rempstone Stone Circle,#000000,,,131,Stone circle,,Heathstone,-2.00879,50.63836
Rempstone Stone Circle,#000000,,,132,Stone circle,,Heathstone,-2.00873,50.63841
Rempstone Stone Circle,#000000,,,133,Stone circle,,Heathstone,-2.00872,50.63846
Rempstone Stone Circle,#000000,,,134,Stone circle,,Heathstone,-2.00878,50.63852
Rempstone Stone Circle,#000000,,,135,Stone circle,,Heathstone,-2.00889,50.63854
Rempstone Stone Circle,#000000,,,136,Stone circle,,Heathstone,-2.00903,50.63852
Hore Stone,#000000,,,137,Stone,,Sarsen,-2.68589,50.82812
Devil's Chair,#000000,,,138,Boulder,Chambered Kong Barrow,Sarsen,-2.69224,50.84126
Devil's Chair,#000000,,,139,Boulder,Chambered Long Barrow,Sarsen,-2.69187,50.84161
